	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core10	1289	1247	1411	1360	1173	602	1682	1519	369	806	684	1521	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1200	464	948	368	835	546	326	918	1469	1200	481	1412	
core2	828	1210	547	791	1652	685	430	894	1464	1463	1356	488	
core3	1048	346	723	998	690	1555	1040	592	475	1732	755	401	
core4	1019	1528	1397	446	1003	1572	1142	1294	638	1206	1668	1083	
core5	1252	1647	510	730	688	564	576	802	1703	742	1155	887	
core6	537	681	1447	406	1051	675	700	1657	447	353	833	792	
core7	955	871	1136	1130	441	1518	923	1576	1606	1332	1478	1493	
core8	401	431	686	828	1659	1593	308	682	492	416	519	632	
core9	480	945	350	1763	562	1596	356	715	371	1530	1467	1531	
core10	1460	1793	553	1440	1073	1039	1081	1582	1532	1794	1433	1344	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1791	730	501	1033	1343	797	1181	325	1667	1144	1112	1264	
core2	1155	1516	1195	1661	1346	629	594	869	999	886	1556	325	
core3	517	1167	536	897	663	705	729	981	1740	1009	307	1235	
core4	1461	304	615	1066	1095	724	559	1295	542	1550	856	1726	
core5	572	786	1541	652	1663	510	879	789	505	1648	1397	803	
core6	414	894	1535	1158	1061	1669	1489	1336	844	1488	1096	981	
core7	940	401	543	1194	1014	1421	783	421	1276	1565	1323	1167	
core8	983	943	541	1545	1223	464	1796	1783	1373	809	942	1751	
core9	336	863	931	1367	582	1155	894	308	619	752	1646	1243	
core10	1124	816	523	1601	1692	946	694	1346	652	662	1402	1215	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1093	736	778	379	1603	1348	448	306	1661	1188	322	963	
core2	349	1520	659	1341	409	1168	1348	667	732	1659	1139	673	
core3	1298	1340	1719	1148	391	385	351	837	352	364	339	767	
core4	939	385	506	600	976	1135	324	861	332	910	1253	815	
core5	1198	1238	478	1513	1567	473	573	354	1213	494	455	981	
core6	1791	1254	1641	685	1324	1203	1120	1068	1733	536	1424	1087	
core7	1594	1104	1545	1393	497	1488	1495	1068	1709	616	997	532	
core8	1087	1107	524	975	1079	1124	548	773	1252	1037	1028	380	
core9	1759	601	510	1345	336	866	998	1774	967	1003	650	334	
core10	715	1161	1529	769	1553	471	1660	1010	364	705	1100	1677	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	894	1495	1751	1160	1727	1181	1386	651	1430	366	1118	1751	
core2	302	1204	1408	415	786	1745	1544	1193	1718	404	884	1701	
core3	1499	942	1026	909	1763	746	1791	1040	776	741	618	1121	
core4	1565	403	913	1064	1040	1756	1529	900	1570	1227	1104	887	
core5	1654	439	1677	1304	334	1657	1411	1142	1344	1334	1233	1192	
core6	1241	1377	685	1435	1536	1494	1195	1698	360	936	1613	353	
core7	1114	1361	660	1232	1309	1724	1046	1193	1520	603	754	1157	
core8	893	1166	524	934	1608	1665	1772	1024	1331	1721	828	593	
core9	1664	987	409	777	1070	1771	395	1043	1519	918	1323	1252	
core10	1609	1657	874	933	1322	1301	496	1763	413	1219	1690	1462	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1396	1502	1311	1750	802	966	713	330	1301	1122	1685	518	
core2	754	1557	1784	1663	806	1455	1662	1040	1427	559	788	490	
core3	498	348	1430	693	1584	623	1096	940	1132	1646	772	680	
core4	636	1199	453	969	1147	594	1629	1137	1134	1650	1693	923	
core5	471	345	1404	539	1480	1166	1614	494	621	1568	721	1003	
core6	1619	1201	387	896	1332	1430	1699	1241	1452	1371	1213	1273	
core7	320	1624	729	783	312	1656	1530	949	604	394	505	1572	
core8	1281	1344	762	325	537	1777	927	1409	1212	1542	792	557	
core9	1465	770	515	1589	1609	1503	978	1182	642	1560	1422	1201	
core10	570	1028	959	1602	741	964	699	1564	408	737	403	1639	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	883	1628	514	1393	1465	313	591	1131	1080	692	1647	766	
core2	1400	1439	307	1288	678	1599	1397	1059	521	1291	1260	895	
core3	553	378	830	1274	1267	748	524	1076	952	1707	423	1687	
core4	614	797	1027	1670	506	734	573	1708	598	1637	322	673	
core5	813	953	1278	1684	564	608	1355	522	1655	348	910	1694	
core6	733	370	676	667	1671	711	658	670	755	1300	1176	1754	
core7	963	1701	603	447	1660	1706	845	1255	699	1141	1574	1302	
core8	1145	403	1680	1513	1720	674	650	1501	574	751	852	567	
core9	1344	1611	975	1327	544	1467	846	1560	1744	1697	826	1670	
core10	1751	1283	619	1799	1286	1015	1309	1726	1016	704	819	1142	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	716	386	869	851	1286	403	359	1046	923	430	1505	827	
core2	1286	1108	303	571	918	1441	607	472	1552	1135	1060	812	
core3	1006	1312	842	1601	350	682	1378	355	1145	437	1529	1077	
core4	992	747	399	1558	1414	1449	643	1459	1516	1444	332	991	
core5	1512	820	641	821	623	580	752	1547	525	1321	1071	1029	
core6	1085	1429	344	681	370	1170	775	1136	776	1509	1525	1626	
core7	416	801	503	1320	364	1505	1645	1229	1134	933	1073	914	
core8	415	1717	1769	384	384	419	875	1255	346	580	767	1044	
core9	484	435	1226	1280	740	1219	565	1411	630	1609	1743	807	
core10	1249	1072	1094	1310	1199	1568	1232	1131	1465	1364	1188	457	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	324	1398	1790	554	1671	1296	1433	354	1652	334	1610	1315	
core2	1426	1578	1539	1772	411	1336	582	692	353	1596	1171	1196	
core3	556	1424	1372	522	483	946	1425	311	1221	1071	1049	1093	
core4	1213	1137	1436	1397	1740	793	1419	1332	1139	1457	629	302	
core5	1476	500	629	1615	775	1155	1775	945	482	1069	1377	1323	
core6	1496	416	1429	1721	1354	1547	738	943	318	541	1037	884	
core7	1317	1763	778	1399	1564	868	1344	863	587	727	1746	1383	
core8	1590	1464	845	1091	403	1732	1008	920	537	431	388	642	
core9	707	395	1172	933	306	1244	517	1208	795	782	301	1118	
core10	1231	678	1150	1099	1751	1728	1162	1432	1514	1692	869	1219	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	917	1485	538	1051	1752	1574	1282	411	560	1630	1076	1426	
core2	835	1426	1593	1564	1612	415	424	1357	826	393	1698	1106	
core3	1393	1749	612	1460	1151	1547	759	1253	688	1239	655	506	
core4	1748	1379	1186	773	448	482	314	1098	1193	488	1589	1322	
core5	725	952	972	1561	1430	1032	1511	1212	1705	824	1234	644	
core6	1484	1321	1523	302	1522	356	449	712	1556	1053	1636	1452	
core7	1414	1144	367	346	1521	753	471	1332	1211	1421	1398	1627	
core8	612	1697	944	790	1038	604	374	845	1006	656	462	1112	
core9	1775	1108	1370	496	631	1651	588	441	753	1475	1762	984	
core10	946	685	1222	715	415	1290	664	1423	1400	1209	392	1302	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1527	1182	1485	1371	338	1637	1676	835	391	1081	1215	1789	
core2	1227	957	683	1790	1694	1470	1236	1004	504	1338	1426	1627	
core3	1444	1618	392	972	852	1511	880	1321	542	1540	379	1709	
core4	1538	1558	1531	625	1612	897	1493	350	1497	1174	863	1146	
core5	1323	722	1600	506	641	776	1524	1127	1484	1749	1555	1330	
core6	1527	1089	524	1686	1012	1011	1347	317	1211	346	1083	1203	
core7	1669	565	673	1340	1498	425	463	507	556	854	543	1263	
core8	919	335	929	1049	1115	699	1187	337	1088	1390	1498	1497	
core9	812	1510	1145	771	1443	1155	1606	1795	483	1305	966	1132	
core10	875	447	829	1273	1789	1546	1284	348	759	1179	1799	961	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1768	1365	1622	760	1650	1622	1302	1364	527	1189	794	917	
core2	1409	1677	1559	1241	534	303	1762	1560	322	1293	364	998	
core3	1429	1154	642	728	575	1520	1503	1623	808	1140	1705	1289	
core4	574	499	1183	1537	1461	1232	1416	1510	814	1448	1128	1785	
core5	1080	466	1116	743	307	1071	1274	1192	505	1557	1077	1101	
core6	1144	1645	367	474	649	348	931	678	1740	853	723	1398	
core7	1496	1247	1378	1610	1142	1094	928	954	828	1003	494	1798	
core8	1009	935	547	1548	1590	1654	584	1079	1312	1343	1078	1663	
core9	550	300	995	579	1540	1763	766	1208	836	859	969	1441	
core10	1371	1630	516	647	1328	1593	1542	1420	1083	408	1473	1762	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	781	1287	984	436	1149	968	878	1315	756	559	1219	1540	
core2	620	1105	541	1740	872	1757	967	1562	850	641	831	421	
core3	646	605	1095	1685	1018	954	1361	1210	1311	1070	884	591	
core4	531	1666	823	1464	863	1221	691	808	1141	1624	775	1451	
core5	1797	520	762	1111	1365	986	399	1689	1312	1573	1275	528	
core6	1562	1777	1116	811	1735	799	1512	1238	1254	1091	1763	1420	
core7	1554	456	914	583	790	480	972	443	1496	1037	374	333	
core8	606	1208	1329	879	1688	1017	1723	1526	645	496	659	1480	
core9	1621	561	359	805	1730	1750	300	1409	581	1586	1448	683	
core10	867	469	1013	1090	1243	1137	1781	577	1526	1553	1721	843	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1255	1352	339	1680	1301	1518	1420	1027	1467	1557	873	508	
core2	1372	1260	1480	646	619	646	1204	1774	909	425	1100	1457	
core3	962	662	886	1646	552	434	990	1647	1619	419	1115	363	
core4	1130	972	520	669	1681	1678	1004	1574	555	1428	614	616	
core5	307	774	687	1455	1588	1188	1345	817	941	1773	457	1689	
core6	624	1586	1315	1685	627	802	1329	924	1459	862	947	1352	
core7	792	856	1551	680	660	871	728	716	1759	1087	1313	1487	
core8	1483	1381	1608	1782	444	578	1389	1196	1704	1073	641	1017	
core9	891	1045	1215	366	1326	1118	1099	1766	1586	674	418	1748	
core10	897	492	1070	755	1549	1280	523	446	1630	1235	964	1415	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	632	1036	1136	1224	744	410	589	983	1102	1236	307	1425	
core2	728	756	1325	442	1731	1436	512	595	1607	1699	969	1372	
core3	1281	710	1297	354	313	646	1603	1628	1321	800	1430	1360	
core4	974	707	1291	459	380	1160	1507	605	756	1775	875	1111	
core5	594	457	353	1550	798	1797	947	685	1278	1418	396	821	
core6	1574	620	325	439	1254	1618	685	393	430	983	653	1424	
core7	1683	1056	1748	505	1180	1651	960	309	1295	1510	1764	844	
core8	734	1659	1508	1533	921	736	608	850	340	1387	891	835	
core9	448	603	1154	527	341	1242	377	446	688	1509	1418	1582	
core10	1334	1121	1035	1462	440	1139	737	1789	623	1061	870	489	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1387	674	389	757	1523	885	1293	1215	1370	529	895	1712	
core2	1239	1454	1150	583	1715	632	1442	1668	948	1452	1529	772	
core3	1596	740	1064	688	1518	744	1537	368	1474	1251	1502	700	
core4	1492	1410	806	1326	1774	1352	880	1511	1798	1586	382	680	
core5	809	1042	1672	787	820	1391	1179	1067	1458	1451	954	1340	
core6	354	1768	1153	630	1262	982	1078	557	1570	1301	737	1473	
core7	439	1443	751	1505	1281	1204	1073	1425	1227	698	825	671	
core8	1184	1502	390	1157	1031	1082	414	660	1224	1240	723	1579	
core9	1186	866	1132	1156	1127	969	1173	1415	418	1251	790	1228	
core10	552	839	1614	815	645	816	322	1272	1304	1705	1614	1782	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1636	828	1073	1479	1108	1137	1690	314	825	1211	636	1341	
core2	1663	1129	698	315	477	1686	1013	1175	539	1725	991	1388	
core3	1180	692	1347	1470	1443	1374	553	1059	752	1515	498	776	
core4	993	1632	627	461	1061	503	679	1274	877	682	896	1285	
core5	1194	786	1649	1736	595	516	451	866	487	782	1212	716	
core6	1757	934	1387	426	558	1289	1231	1096	588	1146	397	674	
core7	1726	1721	629	522	1062	845	1416	367	857	1683	728	1729	
core8	414	713	1537	1086	740	337	1568	578	1590	1736	1397	448	
core9	369	1423	931	1316	1579	983	898	1336	1558	1672	1120	1765	
core10	666	1417	893	1052	549	738	323	557	1154	302	531	372	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1056	1337	640	1547	1752	1546	585	1521	597	1023	1074	1734	
core2	1008	1267	602	1527	575	1757	769	662	1443	1725	1483	745	
core3	312	725	1681	1358	326	1759	1151	1692	1238	1451	481	334	
core4	1457	1789	747	1545	1439	857	1331	518	1585	1399	1042	796	
core5	308	1152	1151	1763	1386	759	579	1570	318	1368	1157	424	
core6	1036	1649	911	420	1178	1029	887	1696	1158	802	323	1249	
core7	744	1313	1588	843	1011	498	1793	1059	671	520	869	905	
core8	939	1128	909	1609	420	560	441	883	498	906	1750	665	
core9	478	632	1011	1133	1360	1047	511	352	1438	785	533	323	
core10	553	587	472	1190	562	1378	1346	1065	1385	1681	584	531	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	770	814	308	527	585	1502	1580	1286	770	765	938	1009	
core2	1564	1187	734	894	1296	307	362	1665	1534	1060	1502	1577	
core3	1465	1560	1609	1320	479	1358	1552	483	1766	913	595	1193	
core4	1783	1587	1349	1522	1582	741	355	1239	327	957	1513	946	
core5	782	1309	1065	1431	647	801	1532	660	649	1199	1108	1154	
core6	337	974	1499	1753	1604	388	1173	660	1615	413	1447	368	
core7	991	1741	1778	1352	1534	1755	1523	592	1056	1178	1345	831	
core8	1345	532	1597	437	1667	1442	312	518	563	1431	568	1669	
core9	591	708	489	418	666	1439	930	822	834	310	1266	1352	
core10	1799	611	422	1329	1073	1005	801	814	1385	943	1232	757	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	729	796	861	589	1393	1522	1603	1017	938	593	1106	986	
core2	1264	1438	1148	896	1187	332	1290	948	372	1237	856	1410	
core3	1086	561	870	1242	595	553	1040	854	433	387	1229	576	
core4	331	387	1777	940	345	1742	1653	735	428	753	410	1367	
core5	1430	1471	1122	991	1722	1377	1275	1218	1773	483	416	859	
core6	400	453	1315	809	1784	1501	553	1499	558	1518	1108	1784	
core7	709	487	1307	1400	1546	357	1177	1503	1437	1144	345	1216	
core8	404	1088	1120	1318	1281	1334	1254	1124	1582	1210	1258	1317	
core9	1304	1154	1227	874	891	316	752	694	1470	1754	1782	367	
core10	1141	1196	1643	705	1698	869	1258	950	1780	1548	447	1536	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	388	1397	1519	460	348	945	719	1423	1473	1717	1573	901	
core2	1178	1762	1436	1161	1677	431	540	661	1377	963	1766	1331	
core3	1419	524	845	1516	1106	770	879	1597	1160	1423	1679	1259	
core4	1521	937	929	1659	1715	1232	324	657	1441	1332	1680	330	
core5	884	967	1218	306	839	1418	653	639	732	630	874	1002	
core6	573	1018	1187	1798	356	828	1637	534	679	1566	1004	1741	
core7	740	433	810	1624	1740	811	790	923	1226	347	1726	1509	
core8	1467	1465	1470	1483	354	1406	1300	971	1690	1702	970	1666	
core9	758	879	462	1732	813	1153	1295	319	823	1032	1306	1508	
core10	772	1162	883	1396	1141	339	414	1422	1260	1674	755	777	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	904	468	1746	390	1222	1213	1679	861	1214	697	1101	956	
core2	1273	599	651	546	377	1191	1467	454	1480	641	341	1674	
core3	1007	792	378	1650	696	991	1284	704	1459	1746	1532	1502	
core4	1644	384	932	437	1093	1005	731	1656	391	310	812	1790	
core5	1671	859	649	463	1327	1712	1708	1713	512	1672	391	1068	
core6	1005	516	527	1618	1153	1356	1233	1672	1518	361	1547	314	
core7	1064	1632	1634	1084	1368	1481	831	431	611	425	1607	1578	
core8	858	552	1004	1610	1233	568	658	1374	1216	1432	1428	1479	
core9	623	741	1070	1571	426	1274	983	1451	618	913	1630	938	
core10	321	314	325	1096	677	1220	824	417	891	1505	956	770	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1753	1797	1123	576	1460	946	1173	1370	1374	1163	1431	327	
core2	1224	494	1206	598	1683	1596	1735	978	1283	682	424	608	
core3	1749	370	1396	1227	1050	425	927	1099	493	1304	862	387	
core4	1360	1677	1274	1359	1187	1246	1590	322	1786	1381	1759	1404	
core5	1461	1726	1586	1133	403	359	1699	1041	1417	1315	1312	424	
core6	1406	304	1791	1508	1428	804	1434	687	922	547	988	1723	
core7	310	407	323	853	1768	671	350	1214	1084	1505	903	1159	
core8	323	926	1086	1654	692	1359	872	1416	1172	1776	836	1072	
core9	711	1046	682	1400	1170	1293	1784	1217	605	898	1670	1395	
core10	401	1402	427	1483	857	635	396	1135	817	674	1273	1572	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	724	516	1592	699	1190	1789	304	314	1331	1014	813	647	
core2	1290	611	1518	1613	1080	565	698	804	717	932	771	499	
core3	700	326	1547	572	335	459	514	1316	1163	327	434	1458	
core4	1060	1202	1097	985	798	323	519	1660	1252	518	533	755	
core5	1356	1252	1665	908	660	675	1766	1232	1598	1773	565	1038	
core6	1778	1541	1368	879	864	483	343	1380	618	767	1273	465	
core7	1399	1485	997	922	602	678	1753	943	723	785	1112	1104	
core8	1325	912	389	573	967	1194	422	749	464	1428	1766	855	
core9	1036	1008	1588	1698	819	1498	556	377	622	418	558	889	
core10	1446	487	441	521	1531	1267	1751	883	1493	593	836	1409	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	565	409	766	615	575	1770	1014	1409	1249	895	1334	527	
core2	739	1719	1408	318	579	693	1498	1477	393	849	1682	813	
core3	1109	583	477	887	1413	1763	1002	589	879	1608	1485	976	
core4	1114	308	1077	332	1038	1696	1487	1445	1242	1525	303	604	
core5	641	657	628	1600	1506	499	1524	1048	1751	1365	1751	306	
core6	426	1496	914	1146	1156	1070	1476	900	1098	1395	368	692	
core7	1677	929	1006	1380	1577	1641	511	1353	1636	1372	681	1354	
core8	1419	1173	1199	1310	1640	562	325	1395	1734	1677	509	1167	
core9	1653	1572	393	1247	553	1160	1720	1609	834	1777	413	721	
core10	1725	1207	994	402	1640	458	381	353	1051	440	1312	1539	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	755	747	1259	1174	1179	1232	1010	1636	759	909	434	722	
core2	1360	968	641	951	1050	687	1532	1145	557	1350	578	1750	
core3	1027	1730	788	1689	975	1437	806	1372	934	1677	564	1497	
core4	1061	1154	960	1543	913	686	1530	360	905	1259	920	687	
core5	1106	682	364	1104	503	582	443	1700	674	1386	1167	613	
core6	1670	1518	1561	633	1503	1381	350	1220	402	686	993	358	
core7	1641	1325	1593	985	1578	1378	444	1189	1227	518	971	1600	
core8	956	520	1480	944	554	1014	305	1604	1580	614	1352	1276	
core9	665	1307	1607	816	1076	1644	1536	679	1371	956	1076	1204	
core10	1556	641	612	363	812	1063	1703	1078	376	1571	796	944	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	1540	851	588	1063	433	1656	1644	1543	1616	1471	1695	1560	
core2	1619	467	1769	808	679	462	1787	1311	816	1753	442	1745	
core3	1744	1791	1661	1594	577	1384	927	1151	1262	1279	362	1141	
core4	1549	1210	1166	887	537	1229	1566	566	385	1605	1783	1553	
core5	775	1590	528	334	1430	303	789	1197	338	1422	1456	601	
core6	450	1554	1449	1048	1441	1539	1428	915	892	1447	1603	359	
core7	1083	1474	1127	1331	1657	1676	1526	723	1526	910	409	843	
core8	1350	343	1672	326	586	783	668	1260	543	871	1302	1562	
core9	1603	467	1074	1133	1043	1460	371	894	1285	687	1787	1698	
core10	868	1653	1111	871	1713	542	835	1149	1392	1038	1037	425	

	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10	task11	task12	
core1	344	414	1162	413	901	1454	1024	413	1234	1473	489	1041	
core2	929	1516	595	761	1296	768	1307	1109	892	604	1636	887	
core3	979	1793	1310	1189	1158	422	719	857	1105	1635	437	1491	
core4	344	1242	387	1753	470	1176	510	1795	884	799	335	1170	
core5	1239	469	990	906	1351	1411	577	1080	685	1051	720	1376	
core6	716	1008	707	618	1365	1657	1325	413	767	323	1299	1661	
core7	367	1689	1238	302	389	1485	1409	1097	1686	482	1013	1254	
core8	700	436	630	1309	414	1698	1172	1630	814	384	1011	424	
core9	1215	1095	682	372	1661	930	965	1400	1383	1649	1104	826	
core10	384	1189	940	864	557	1011	1446	1568	1606	384	1303	921	
